id,sum
482028,2
482027,1
482026,3
482022,2
482019,1
482016,1
482015,5
482013,2
482008,2
482006,2
482005,3
482003,1
482001,1
481997,1
481996,1
481994,2
481993,1
481990,1
481988,3
481986,2
481985,1
481983,1
481982,4
481981,2
481978,2
481977,3
481975,2
481974,4
481971,2
481968,1
481966,2
481964,1
481963,2
481962,1
481961,1
481960,1
481959,3
481957,1
481954,3
481946,2
481945,2
481940,4
481930,2
481929,2
481927,3
481924,2
481922,2
481921,1
481920,1
481915,1
481913,5
481908,4
481907,1
481903,3
481901,1
481898,2
481896,8
481894,3
481891,2
481889,2
481887,4
481882,3
481881,2
481878,1
481874,2
481873,2
481872,2
481871,5
481870,1
481867,1
481864,3
481863,2
481862,2
481860,2
481859,2
481858,1
481857,3
481853,3
481852,3
481851,1
481850,2
481849,2
481848,2
481846,3
481837,4
481836,3
481833,1
481831,1
481830,1
481829,2
481828,2
481825,2
481823,2
481819,4
481818,1
481816,1
481814,3
481811,1
481809,1
481807,3
481805,2
481803,1
481802,1
481800,2
481799,2
481796,2
481793,5
481792,4
481791,3
481785,2
481784,2
481783,1
481780,3
481779,1
481778,2
481776,4
481775,2
481774,3
481771,3
481770,1
481769,2
481768,2
481760,2
481759,3
481756,1
481754,2
481750,2
481749,4
481748,1
481747,2
481746,2
481742,1
481739,2
481737,1
481736,2
481735,2
481731,1
481728,1
481721,2
481720,1
481714,3
481712,1
481711,4
481710,2
481706,1
481705,2
481703,4
481702,1
481700,4
481698,1
481697,2
481695,1
481692,2
481689,1
481688,3
481687,3
481685,1
481683,1
481682,1
481681,5
481680,1
481678,1
481676,1
481675,2
481673,1
481672,2
481671,1
481670,1
481666,1
481665,1
481663,1
481657,1
481656,2
481649,1
481642,2
481641,2
481635,1
481634,1
481632,3
481631,1
481630,1
481627,1
481625,2
481619,1
481616,1
481615,3
481614,1
481613,1
481612,2
481608,1
481607,1
481599,1
481598,3
481596,1
481595,2
481594,2
481593,2
481590,1
481588,1
481586,1
481584,1
481579,2
481575,1
481574,2
481572,1
481571,1
481570,2
481568,1
481567,3
481565,2
481563,1
481559,1
481557,1
481553,3
481550,1
481549,4
481546,1
481544,3
481543,1
481541,1
481540,1
481537,2
481536,1
481535,1
481534,3
481533,2
481532,2
481531,1
481529,1
481525,3
481520,2
481519,1
481518,2
481517,3
481514,1
481512,1
481510,3
481509,2
481508,1
481506,2
481505,1
481501,2
481497,2
481496,1
481494,1
481493,2
481492,2
481491,1
481490,3
481488,2
481486,2
481485,1
481482,2
481481,1
481480,2
481479,1
481476,1
481475,2
481469,2
481467,2
481466,1
481465,1
481463,2
481462,1
481459,1
481458,2
481457,2
481454,2
481453,1
481452,1
481451,2
481450,1
481448,1
481446,2
481438,1
481437,2
481434,1
481432,1
481430,1
481429,1
481426,1
481424,1
481423,2
481421,3
481420,2
481416,1
481415,1
481412,2
481411,1
481410,2
481408,1
481407,3
481406,3
481405,1
481404,1
481402,2
481399,2
481398,1
481396,2
481392,1
481391,1
481389,2
481387,2
481386,3
481385,3
481384,1
481383,2
481379,1
481377,2
481374,1
481373,1
481369,1
481366,1
481365,3
481362,1
481361,4
481360,1
481359,1
481357,3
481356,1
481355,2
481354,3
481353,2
481351,1
481349,2
481348,1
481347,2
481346,3
481344,1
481343,2
481340,1
481339,1
481337,3
481325,2
481321,1
481320,1
481319,3
481318,4
481317,1
481316,1
481315,2
481311,1
481310,1
481304,1
481303,1
481302,2
481301,2
481300,1
481296,1
481292,6
481291,2
481290,1
481289,1
481288,1
481287,1
481285,1
481284,1
481282,1
481281,2
481279,2
481277,1
481276,1
481275,1
481272,2
481271,1
481269,3
481267,1
481266,1
481264,2
481257,1
481255,2
481254,1
481252,1
481244,1
481243,1
481242,6
481239,3
481238,2
481237,1
481236,1
481232,2
481231,3
481228,1
481227,1
481225,3
481223,1
481220,1
481219,1
481212,1
481210,1
481209,2
481208,1
481204,2
481202,2
481201,1
481200,2
481198,1
481196,1
481195,1
481192,5
481191,2
481190,2
481188,1
481187,1
481184,1
481183,1
481181,2
481179,1
481177,1
481175,2
481173,5
481171,2
481169,1
481168,1
481166,2
481165,2
481159,1
481158,1
481156,1
481155,1
481154,3
481153,1
481152,2
481150,1
481149,1
481148,4
481145,2
481141,2
481139,1
481138,1
481135,1
481131,1
481130,1
481129,2
481127,2
481124,1
481121,1
481117,1
481115,1
481113,1
481111,2
481110,2
